,Geneid,minuslog10pval,SPT5_T0vsSPT5_T15.padj,log2FC
370,Interval_371,0.0827141566561589,0.826581809055639,-0.702578879302178
371,Interval_372,0.25984769139283354,0.549733633579866,1.14896869830325
372,Interval_373,0.9025418471724442,0.125157866926169,-1.8445830036566102
374,Interval_375,0.04946478771378995,0.892349967752457,0.356764785512533
375,Interval_376,0.0827141566561589,0.826581809055639,-0.425446006547473
376,Interval_377,0.06784601098734137,0.855369950044209,-0.432128407100823
382,Interval_383,0.029616319116492918,0.9340791559744699,0.266665198599737
383,Interval_384,0.10786509684144945,0.780072383658853,0.463546836551492
384,Interval_385,0.25209337000868004,0.559637270806032,0.495507310457725
385,Interval_386,0.10436522998326526,0.7863841835811759,0.324662963235282
386,Interval_387,0.1098361174337851,0.776540091510989,0.378780380434219
387,Interval_388,0.018062955300653463,0.959261566940653,0.0763222113081641
390,Interval_391,0.06784601098734137,0.855369950044209,0.38094577629760207
392,Interval_393,0.05182329600642008,0.887517047954534,0.47895076471228293
393,Interval_394,0.06713483359814011,0.8567718055619921,-0.262250561181244
394,Interval_395,0.16905150420578055,0.677561148960813,0.928412887546611
395,Interval_396,1.340349726296228,0.0456720256289338,2.0501277499445503
401,Interval_402,0.02704309639896911,0.939630063509792,-0.11108562672232701
402,Interval_403,0.08003877604464088,0.8316895102712059,0.38820484789985
403,Interval_404,0.011311886029002398,0.9742897059969391,0.0601177682691483
404,Interval_405,0.044322205204403296,0.9029793003825551,0.261753072135582
406,Interval_407,0.044322205204403296,0.9029793003825551,0.3162765264124461
409,Interval_410,2.6084973885596083,0.00246321664966929,1.46309306857023
411,Interval_412,9.870024300797807,1.34888740395096e-10,2.828590181261
412,Interval_413,7.291778033834488,5.107659837188231e-08,2.43269809000844
413,Interval_414,1.7895321326007043,0.016235582221358,2.31781491337496
415,Interval_416,2.123971253010632,0.00751672647379957,3.1246426709665602
416,Interval_417,1.0013555983278948,0.0996883485941563,1.7156245649570399
417,Interval_418,0.850574845340958,0.141066910394578,1.87800206345296
419,Interval_420,7.291778033834488,5.107659837188231e-08,2.61844446957871
421,Interval_422,2.8659384833711337,0.00136163754105064,2.58095620025088
423,Interval_424,3.3743900173356964,0.000422289207906366,2.20021701264422
425,Interval_426,0.8844687053268023,0.130476198463709,1.33023515087696
427,Interval_428,0.0019282240582765096,0.995569941812442,0.00792596403814261
430,Interval_431,0.029616319116492918,0.9340791559744699,-0.16524875571775102
432,Interval_433,0.3100419137766696,0.4897315530771679,0.765195897249486
435,Interval_436,1.2278536443420534,0.0591761021885275,0.9283355911374229
436,Interval_437,0.33697817545540654,0.460279703376759,-1.39968048381168
437,Interval_438,0.6892059621752137,0.204547434979428,0.719775879999948
438,Interval_439,0.13867006329889944,0.7266577950440709,0.699996374676826
439,Interval_440,0.02892133578237304,0.935575120509568,-0.21235939615309696
440,Interval_441,0.06401704792041785,0.8629446728238911,-0.251747927870826
441,Interval_442,0.020944261419027627,0.9529184564231209,0.0795966178699051
443,Interval_444,0.045263839578484455,0.9010235876856959,0.379758685893201
445,Interval_446,1.0820867160476182,0.0827776864110837,0.952799893385015
448,Interval_449,0.15292578508288315,0.70319247548024,0.63541546185983
450,Interval_451,0.1966937997149023,0.635779031278741,-0.764923557871644
451,Interval_452,0.029616319116492918,0.9340791559744699,-0.270951433830438
452,Interval_453,0.044322205204403296,0.9029793003825551,-0.191877634398482
453,Interval_454,0.03138611934340166,0.9302804208150749,-0.23159679495008104
455,Interval_456,0.0827141566561589,0.826581809055639,-0.5062505188808061
456,Interval_457,0.08003877604464088,0.8316895102712059,-0.314007858073169
457,Interval_458,0.007863911770542641,0.982055626584638,-0.0589641291946299
459,Interval_460,0.15091442150970658,0.7064567490911869,0.5468233758195771
461,Interval_462,0.889168766866235,0.129071760319382,-1.5397678864609798
